110	Change Of Seasons	Removed from game
534	Potion Of Forgetfulness	Reset Hermits at the cost of 1,000,000 Experience
584	Redemption Key Stone	Additionally reduces the duration of PK / Death Penalties by half.
588	Ice Rain	Removed From the Game.
634	Potion Of Oblivion	Reset Hermits without costing Experience.
719	Mark Of Destruction [P]	This torch is permanent.
720	Mark Of Nature [P]	This torch is permanent.
721	Mark Of Spirit [P]	This torch is permanent.
722	Mark Of Fire [P]	This torch is permanent.
723	Mark Of Ice [P]	This torch is permanent.
724	Mark Of Lightning [P]	This torch is permanent.
725	Mark Of Wind [P]	This torch is permanent.
726	Mark Of Holy [P]	This torch is permanent.
727	Mark Of Dark [P]	This torch is permanent.
728	Mark Of Phantom [P]	This torch is permanent.
729	Mir Package [T]	The buff is account wide.
730	Tonic Of Experience [T]	The buff is account wide.
731	Tonic Of Treasure [T]	The buff is account wide.
732	Tonic Of Wealth [T]	The buff is account wide.
733	Tonic Of Spelunking [T]	The buff is account wide.
734	Tonic Of Destruction [T]	The buff is account wide.
735	Tonic Of Nature [T]	The buff is account wide.
736	Tonic Of Spirit [T]	The buff is account wide.
737	Tonic Of Life [T]	The buff is account wide.
738	Tonic Of Mana [T]	The buff is account wide.
739	Tonic Of Velocity [T]	The buff is account wide.
740	Tonic Of Dexterity [T]	The buff is account wide.
741	Tonic Of Knowledge [T]	The buff is account wide.
742	Tonic Of Luck [T]	The buff is account wide.
743	Mir Package [P]	The buff is account wide and permanent.
744	Tonic Of Experience [P]	The buff is account wide and permanent.
745	Tonic Of Treasure [P]	The buff is account wide and permanent.
746	Tonic Of Wealth [P]	The buff is account wide and permanent.
747	Tonic Of Spelunking [P]	The buff is account wide and permanent.
748	Tonic Of Destruction [P]	The buff is account wide and permanent.
749	Tonic Of Nature [P]	The buff is account wide and permanent.
750	Tonic Of Spirit [P]	The buff is account wide and permanent.
751	Tonic Of Life [P]	The buff is account wide and permanent.
752	Tonic Of Mana [P]	The buff is account wide and permanent.
753	Tonic Of Velocity [P]	The buff is account wide and permanent.
754	Tonic Of Dexterity [P]	The buff is account wide and permanent.
755	Tonic Of Knowledge [P]	The buff is account wide and permanent.
756	Megaphone [P]	Account wide Buff that allows you to use Global Shout at any level.
757	Hair Change	Allows you to change Hair Style and Colour
758	Gender Change	Allows you to change Gender
759	Armour Dye	Allows you to change Armour Dye
760	Additional Vault	Increases Storage by 10 Slots.
761	Crafting Vault	(Place Holder) Gives you access to a dedicated crafting vault
762	Name Change	Allows you to change your Name
765	Scroll Of Teleportation	(Place Holder) Select from a list of Locations to teleport.
766	Scroll Of Greater Teleportation	(Place Holder) Select from a list of Locations, and choose where to teleport
767	Elixir Of Regret Lv 3	Rerolls the Level 3 Companion skill
768	Elixir Of Regret Lv 5	Rerolls the Level 5 Companion skill
769	Elixir Of Regret Lv 7	Rerolls the Level 7 Companion skill
770	Elixir Of Regret Lv 10	Rerolls the Level 10 Companion skill
771	Potion Of Awareness	Nothing
787	Superior Repair Oil	Special repairs all of the Equipment you are wearing.
788	Accessory Repair Oil	Special repairs All of the Accessories you are wearing.
789	Armour Repair Oil	Special repairs the Helmet, Armour and Shoes you are wearing.
790	Pill Of Reincarnation	Revives the user upon use.
791	Elixir Of Purification	Nullifies all poisons that are on you.
793	Thorned Rose	Instantly Revives you upon death.
794	Guardian Angel's Flower	Instantly Revives you upon death.
795	Iron Horse Armour	Has no effect without owning a horse.
796	Silver Horse Armour	Has no effect without owning a horse.
797	Gold Horse Armour	Has no effect without owning a horse.
798	Blue Horse Armour	Has no effect without owning a horse.
799	Dark Horse Armour	Has no effect without owning a horse.
815	Companion Ticket	This is used to unlock a Companion appearance.
932	Fortune Checker	Allows you to check your Drop progression.
934	Tonic of Comfort [T]	The buff is account wide.
991	Potion of Greed	The buff is NOT account wide.
997	White Whistle	Warning: Do not use.
1066	Tonic of Collection [T]	The buff is account wide.
1089	PVP Champion	The Champions Emblem
1092	Stat Extractor	Extracts the stats from your current Weapon, (Weapon is Destroyed)
1093	Stat Extractor	Applies the Stats to your current Weapon, (Old Stats are cleared).
1094	Elixir Of Regret Lv 11	Rerolls the Level 11 Companion skill
1095	Elixir Of Regret Lv 13	Rerolls the Level 13 Companion skill
1096	Elixir Of Regret Lv 15	Rerolls the Level 15 Companion skill
1110	Refine Extractor	Extracts the refine stats from your current Weapon.
1111	Refine Extractor	Applies the Refine Stats to your current Weapon, (Old Refine Stats are cleared).
1126	Companion Experience Tonic [T]	The buff is account wide.
1158	War Thurible	Unfinished stats
1159	Penance Thurible	Unfinished stats
1160	Censorship Thurible	Unfinished stats
1161	Petrichor Thurible	Unfinished stats
1162	Chaotic Heaven Blade	Unfinished stats
1163	Janitors Scimitar	Unfinished stats
1164	Janitors Dual Blade	Unfinished stats
1165	Chaotic Heaven Blade 2	Unfinished stats
1166	Royal Horse Armour	Has no effect without owning a horse.
1167	Blue Dragon Armour	Has no effect without owning a horse.
