1	药水，来买药水咯，\n\n喂，说的就是你，看你一副瘾君子的样，要不要来点药剂！？\n\n[浏览药水:1]\n\n[慢慢后退:0]
2	好极了……\n\n现在把每一分钱都花光吧。\n\n\n\n[返回:1]\n\n[退出:0]
3	欢迎光临本店，\n\n我做这一行好多年了，什么部位最好吃我一清二楚。\n\n有什么能帮您的？\n\n[浏览商店:1]\n\n[退出:0]
4	马上就来招呼您，\n\n随便看看，看上什么尽管说……\n\n我店里存货快见底了，要是您有好肉，我出高价收。\n\n\n[返回:1]\n\n[退出:0]
5	有什么需要帮忙的，\n\n我这儿能提供的服务有：\n\n[浏览武器:1]\n[修理武器:2]\n\n[退出:0]
6	慢慢挑，\n\n我一整天都有空。\n\n\n[返回:1]\n\n[退出:0]
7	可以给您做个便宜点的修补，也可以做个完美修复，全看您的意思。\n\n\n[返回:1]\n\n[退出:0]
8	稍等片刻，\n \n正在把这批货放上货架。\n\n[浏览戒指:1]\n[浏览手镯:2]\n[浏览项链:3]\n\n[修理首饰:4]\n\n[退出:0]
9	新到一批戒指，\n\n慢慢看，都是真货，绝无赝品……\n\n[浏览手镯:1]\n\n[浏览项链:2]\n\n[返回:3]\n\n[退出:0]
10	新到一批手镯，\n\n慢慢看，都是真货，绝无赝品……\n\n[浏览戒指:1]\n\n[浏览项链:2]\n\n[返回:3]\n\n[退出:0]
11	新到一批项链，\n\n慢慢看，都是真货，绝无赝品……\n\n[浏览戒指:1]\n\n[浏览手镯:2]\n\n[返回:3]\n\n[退出:0]
12	把您的宝贝"贵重品"放到这张桌上，\n\n我会一件件仔细过目……\n\n[返回:1]\n\n[退出:0]
13	嘘，别吵，我正在看书呢。您先看看，看完告诉我想要什么。\n\n[战士书籍:1]\n[法师书籍:2]\n[道士书籍:3]\n[刺客书籍:4]\n\n[退出:0]
14	嘘，别吵，我正在看书呢。您先看看，看完告诉我想要什么。\n\n战士书籍\n[法师书籍:2]\n[道士书籍:3]\n[刺客书籍:4]\n\n[退出:0]
15	嘘，别吵，我正在看书呢。您先看看，看完告诉我想要什么。\n\n[战士书籍:1]\n法师书籍\n[道士书籍:3]\n[刺客书籍:4]\n\n[退出:0]
16	嘘，别吵，我正在看书呢。您先看看，看完告诉我想要什么。\n\n[战士书籍:1]\n[法师书籍:2]\n道士书籍\n[刺客书籍:4]\n\n[退出:0]
17	嘘，别吵，我正在看书呢。您先看看，看完告诉我想要什么。\n\n[战士书籍:1]\n[法师书籍:2]\n[道士书籍:3]\n刺客书籍\n\n[退出:0]
18	您要的东西我这儿都有，\n\n价钱绝对公道，\n\n[浏览必需品:1]\n[浏览道士用品:2]\n[浏览暗石:3]\n\n[退出:0]
19	新到了一批漂亮的装备，\n\n您对什么感兴趣？\n\n[浏览护甲:1]\n[浏览头盔和鞋子:2]\n[修理护甲:3]\n\n[退出:0]
20	我是个收藏家，\n\n专收那些别人看不上眼的东西。\n\n\n[退出:0]\n\n
21	我这儿很快就要进新货了！\n\n\n[浏览道士用品:2]\n[浏览暗石:3]\n\n\n[退出:0]
22	盔甲和衣服，\n\n均码，谁穿都合身。\n\n[返回:1]\n\n[退出:0]
23	行，\n\n那身破衣裳我也顺手给您补补。\n\n[返回:1]\n\n[退出:0]
24	头盔和鞋子，\n\n均码，谁穿都合身。\n\n[返回:1]\n\n[退出:0]
30	传送失败，\n\n金币不够。\n\n[退出:0]
38	请选择目的地\n\n[失乐园:1] 10,000 金币\n[沙巴克城:2] 3,000 金币\n[潘夜村:3] 5,000 金币\n\n[比奇城:4] 10,000 金币（45 级以上）\n\n\n[通行证:5] [退出:0]
39	请选择目的地\n\n[诺玛村:1] 10,000 金币\n[沙巴克城:2] 3,000 金币\n[比奇县:3] 5,000 金币\n\n[潘夜岛:4] 10,000 金币（25 级以上）\n[魔岛:5] 50,000 金币\n\n[通行证:6] [退出:0]
40	请选择目的地\n\n[比奇县:1] 10,000 金币\n[沙漠土墙:2] 3,000 金币\n[诺玛村:3] 5,000 金币\n\n[道观:4] 10,000 金币\n\n[霜村:5] 20,000 金币（45 级以上）\n\n[通行证:6] [退出:0]
41	请选择目的地\n\n[比奇县:1] 3,000 金币\n[沙漠土墙:2] 5,000 金币\n[潘夜村:3] 3,000 金币\n\n\n[退出:0]
42	请选择目的地\n\n[失乐园:1] 3,000 金币\n[沙巴克城:2] 5,000 金币\n[诺玛村:3] 3,000 金币\n\n\n[退出:0]
43	请选择目的地\n\n[潘夜村:1] 10,000 金币\n[沙漠土墙:2] 3,000 金币\n[失乐园:3] 5,000 金币\n[西部荒原:5] 5,000,000 金币（60 级以上）\n[荒原:6] 5,000,000 金币 + 自由通行证（60 级以上）\n\n[通行证:4] [退出:0]
49	请选择目的地\n\n[潘夜村:1] 10,000 金币\n\n[失落之地:3] 30,000 金币（35 级以上）\n\n\n[通行证:2] [退出:0]
68	我这儿很快就要进新货了！\n\n[浏览必需品:1]\n\n[浏览暗石:3]\n\n\n[退出:0]
69	我这儿很快就要进新货了！\n\n[浏览必需品:1]\n[浏览道士用品:2]\n\n\n\n[退出:0]
71	我是专精武器精炼的工匠，让我来帮您精炼武器吧。\n\n[精炼:1] 精炼您的武器。\n[取出:2] 取回精炼好的武器。\n[更换:4] 花费 100,000 金币为武器转换元素属性。\n[查询:3] 询问精炼详情。\n[查询:5] 询问精炼石。\n[重置:6] 重置武器等级\n[开始:7] 开始宗师精炼。\n[开始:8] 开始特殊精炼。\n\n[退出:0]
72	您手里并没有拿着武器。\n\n请您带上武器再来吧。\n\n\n[退出:0]
73	您想把武器附上什么元素？\n\n转换为 [火:1] 元素。\n转换为 [冰:2] 元素。\n转换为 [雷:3] 元素。\n转换为 [风:4] 元素。\n转换为 [神圣:5] 元素。\n转换为 [暗:6] 元素。\n转换为 [幻影:7] 元素。\n\n[退出:0]
74	您手里的武器并不带有任何元素属性。\n\n我帮不上忙。\n\n\n[退出:0]
75	恭喜，\n\n您的武器现在是火元素了。\n\n[退出:0]
76	您的金币不够。\n\n等您攒够金币再来吧。\n\n\n[退出:0]
77	转换武器元素失败……\n\n您的武器本来就是这种元素。\n\n[退出:0]
78	恭喜，\n\n您的武器现在是冰元素了。\n\n[退出:0]
79	恭喜，\n\n您的武器现在是雷元素了。\n\n[退出:0]
80	恭喜，\n\n您的武器现在是风元素了。\n\n[退出:0]
81	恭喜，\n\n您的武器现在是神圣元素了。\n\n[退出:0]
82	恭喜，\n\n您的武器现在是暗黑元素了。\n\n[退出:0]
83	恭喜，\n\n您的武器现在是幻影元素了。\n\n[退出:0]
84	\n\n尚未开放\n\n[退出:0]
85	好消息，我看您的武器已经可以精炼了。\n\n精炼：DC。\n精炼：法术威力（MC、SC 或两者兼有，视武器而定）。\n\n精炼：火元素、冰元素、雷元素、风元素。\n精炼：神圣元素、暗黑元素。\n精炼：幻影元素。\n\n[退出:0]
86	精炼您的武器失败了……\n\n\n它还没到能精炼的程度。\n\n[退出:0]
97	这是您正在精炼的武器清单，\n\n如果上面没有，那说明您已经取走了。\n\n\n[退出:0]
98	您要的东西我这儿都有，\n\n价钱绝对公道，\n\n[浏览必需品:1]\n[浏览道士用品:2]\n[浏览暗石:3]\n\n[退出:0]
99	我这儿很快就要进新货了！\n\n[浏览必需品:1]\n[浏览道士用品:2]\n\n\n\n[退出:0]
100	我这儿很快就要进新货了！\n\n[浏览必需品:1]\n\n[浏览暗石:3]\n\n\n[退出:0]
101	我这儿很快就要进新货了！\n\n\n[浏览道士用品:2]\n[浏览暗石:3]\n\n\n[退出:0]
102	药水，来买药水咯，\n\n喂，说的就是你，看你一副瘾君子的样，要不要来点药剂！？\n\n[浏览药水:1]\n\n[慢慢后退:0]
103	好极了……\n\n现在把每一分钱都花光吧。\n\n\n\n[返回:1]\n\n[退出:0]
104	请选择目的地\n\n[诺玛村:1] 1,000 金币\n\n\n\n\n\n[退出:0]
108	马上给我离开。\n\n我可不想让血溅到我的货上。\n\n[退出:0]
110	我可不想被人看见跟您做生意。\n\n[购买物品:1]\n[修理物品:2]\n\n\n[退出:0]
111	快点，趁还没人过来。\n\n\n\n[返回:1]\n\n\n[退出:0]
112	快，我感觉有人来了。\n\n\n[返回:1]\n\n\n[退出:0]
113	请选择目的地\n\n[内墙:1] 1,000 金币\n\n\n\n\n[退出:0]
114	请选择目的地\n\n[内墙:1] 1,000 金币\n\n\n\n\n[退出:0]
119	欢迎来到我的马厩。\n这是现有马匹的清单。\n\n[棕马:1] - 500,000 金币，15 级。\n[白马:2] - 20,000,000 金币，42 级。\n[红马:3] - 100,000,000 金币，51 级。\n[黑马:4] - 600,000,000 金币，75 级。\n\n[出售马匹:5]\n\n[退出:0]
121	我暂时没法再卖给您一匹马。\n\n您现在已经有一匹马了。\n\n想买新马的话，请先把手头的马卖掉。\n\n[主菜单:1]\n\n[退出:0]
122	这匹马我暂时没法卖给您。\n\n您的实力还不够。\n\n等您等级更高了再来吧。\n\n[主菜单:1]\n\n[退出:0]
